date,tran
"May 1, 2021",31.14
"May 2, 2021",31.14
"May 3, 2021",31.12
"May 4, 2021",31.21
"May 5, 2021",31.13
"May 6, 2021",31.24
"May 7, 2021",31.09
"May 8, 2021",31.04
"May 9, 2021",31.04
"May 10, 2021",31.08
"May 11, 2021",31.19
"May 12, 2021",31.3
"May 13, 2021",31.325
"May 14, 2021",31.35
"May 15, 2021",31.34
"May 16, 2021",31.34
"May 17, 2021",31.5
"May 18, 2021",31.405
"May 19, 2021",31.37
"May 20, 2021",31.37
"May 21, 2021",31.37
"May 22, 2021",31.36
"May 23, 2021",31.36
"May 24, 2021",31.32
"May 25, 2021",31.33
"May 26, 2021",31.23
"May 27, 2021",31.2865
"May 28, 2021",31.24
"May 29, 2021",31.26
"May 30, 2021",31.26
"May 31, 2021",31.2
"June 1, 2021",31.18
"June 2, 2021",31.12
"June 3, 2021",31.21
"June 4, 2021",31.15
"June 5, 2021",31.124
"June 6, 2021",31.124
"June 7, 2021",31.2
"June 8, 2021",31.21
"June 9, 2021",31.14
"June 10, 2021",31.15
"June 11, 2021",31.09
"June 12, 2021",31.0925
"June 13, 2021",31.0925
"June 14, 2021",31.12
"June 15, 2021",31.18
"June 16, 2021",31.16
"June 17, 2021",31.44
"June 18, 2021",31.4935
"June 19, 2021",31.444
"June 20, 2021",31.444
"June 21, 2021",31.6735
"June 22, 2021",31.717
"June 23, 2021",31.82
"June 24, 2021",31.91
"June 25, 2021",31.7755
"June 26, 2021",31.819
"June 27, 2021",31.819
"June 28, 2021",31.92
"June 29, 2021",32.09
"June 30, 2021",32.04
"July 1, 2021",32.08
"July 2, 2021",32.1
"July 3, 2021",32.126
"July 4, 2021",32.126
"July 5, 2021",32.11
"July 6, 2021",32.28
"July 7, 2021",32.33
"July 8, 2021",32.53
"July 9, 2021",32.525
"July 10, 2021",32.517
"July 11, 2021",32.517
"July 12, 2021",32.68
"July 13, 2021",32.63
"July 14, 2021",32.63
"July 15, 2021",32.69
"July 16, 2021",32.79
"July 17, 2021",32.783
"July 18, 2021",32.783
"July 19, 2021",32.85
"July 20, 2021",32.85
"July 21, 2021",32.85
"July 22, 2021",32.88
"July 23, 2021",32.95
"July 24, 2021",32.928
"July 25, 2021",32.928
"July 26, 2021",32.92
"July 27, 2021",32.923
"July 28, 2021",32.86
"July 29, 2021",32.87
"July 30, 2021",32.92
"July 31, 2021",33.084